Country_Name,Country_Code,year,GDP_USD,GDP_per_capita_USD
Afghanistan,AFG,2015,19134211764,556.0072209
Afghanistan,AFG,2016,18116562465,512.0127781
Afghanistan,AFG,2017,18753469630,516.6798622
Afghanistan,AFG,2018,18053228579,485.6684187
Afghanistan,AFG,2019,18799450743,494.1793499
Afghanistan,AFG,2020,20116137326,516.7478708
Albania,ALB,2015,11386850130,3952.802538
Albania,ALB,2016,11861199831,4124.05539
Albania,ALB,2017,13019689337,4531.019374
Albania,ALB,2018,15156432310,5287.663694
Albania,ALB,2019,15401830754,5396.215864
Albania,ALB,2020,15131866271,5332.160475
Algeria,DZA,2015,1.65979E+11,4177.889542
Algeria,DZA,2016,1.60034E+11,3946.452447
Algeria,DZA,2017,1.70097E+11,4109.698217
Algeria,DZA,2018,1.74911E+11,4142.018558
Algeria,DZA,2019,1.71767E+11,3989.668276
Algeria,DZA,2020,1.45009E+11,3306.858208
American_Samoa,ASM,2015,673000000,12059.63516
American_Samoa,ASM,2016,671000000,12038.2497
American_Samoa,ASM,2017,612000000,11003.82976
American_Samoa,ASM,2018,639000000,11521.60978
American_Samoa,ASM,2019,648000000,11715.36014
American_Samoa,ASM,2020,709000000,12844.90099
Andorra,AND,2015,2789881259,35770.91865
Andorra,AND,2016,2896610480,37474.74584
Andorra,AND,2017,3000162081,38964.66201
Andorra,AND,2018,3218419897,41793.31884
Andorra,AND,2019,3155149348,40898.41791
Andorra,AND,2020,2891001149,37416.69772
Angola,AGO,2015,87219290029,3127.890598
Angola,AGO,2016,49840494026,1728.023754
Angola,AGO,2017,68972763787,2313.220584
Angola,AGO,2018,77792940077,2524.942483
Angola,AGO,2019,69309104807,2177.799015
Angola,AGO,2020,53619071176,1631.431691
Antigua_and_Barbuda,ATG,2015,1336692593,14285.32978
Antigua_and_Barbuda,ATG,2016,1436585185,15198.74297
Antigua_and_Barbuda,ATG,2017,1467977778,15383.5764
Antigua_and_Barbuda,ATG,2018,1605944444,16679.59166
Antigua_and_Barbuda,ATG,2019,1687533333,17376.64968
Antigua_and_Barbuda,ATG,2020,1370281481,13992.74448
Argentina,ARG,2015,5.94749E+11,13789.06042
Argentina,ARG,2016,5.57531E+11,12790.24247
Argentina,ARG,2017,6.43629E+11,14613.04182
Argentina,ARG,2018,5.2482E+11,11795.15939
Argentina,ARG,2019,4.52818E+11,10076.35524
