LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,YEAR,MONTH
AUS,HUR,TOT,PC_LF,2020-01,5.269611,2020,1
AUS,HUR,TOT,PC_LF,2020-02,5.081623,2020,2
AUS,HUR,TOT,PC_LF,2020-03,5.220101,2020,3
AUS,HUR,TOT,PC_LF,2020-04,6.358871,2020,4
AUS,HUR,TOT,PC_LF,2020-05,7.068942,2020,5
AUS,HUR,TOT,PC_LF,2020-06,7.440282,2020,6
AUS,HUR,TOT,PC_LF,2020-07,7.479592,2020,7
AUS,HUR,TOT,PC_LF,2020-08,6.807751,2020,8
AUS,HUR,TOT,PC_LF,2020-09,6.913334,2020,9
AUS,HUR,TOT,PC_LF,2020-10,6.996009,2020,10
AUT,HUR,TOT,PC_LF,2020-01,4.4,2020,1
AUT,HUR,TOT,PC_LF,2020-02,4.5,2020,2
AUT,HUR,TOT,PC_LF,2020-03,4.6,2020,3
AUT,HUR,TOT,PC_LF,2020-04,4.7,2020,4
AUT,HUR,TOT,PC_LF,2020-05,5.7,2020,5
AUT,HUR,TOT,PC_LF,2020-06,5.9,2020,6
AUT,HUR,TOT,PC_LF,2020-07,5.7,2020,7
AUT,HUR,TOT,PC_LF,2020-08,5.5,2020,8
AUT,HUR,TOT,PC_LF,2020-09,5.4,2020,9
AUT,HUR,TOT,PC_LF,2020-10,5.4,2020,10
BEL,HUR,TOT,PC_LF,2020-01,5.1,2020,1
BEL,HUR,TOT,PC_LF,2020-02,5.0,2020,2
BEL,HUR,TOT,PC_LF,2020-03,5.0,2020,3
BEL,HUR,TOT,PC_LF,2020-04,5.1,2020,4
BEL,HUR,TOT,PC_LF,2020-05,5.0,2020,5
BEL,HUR,TOT,PC_LF,2020-06,5.0,2020,6
BEL,HUR,TOT,PC_LF,2020-07,5.0,2020,7
BEL,HUR,TOT,PC_LF,2020-08,5.1,2020,8
BEL,HUR,TOT,PC_LF,2020-09,5.2,2020,9
BEL,HUR,TOT,PC_LF,2020-10,5.1,2020,10
CAN,HUR,TOT,PC_LF,2020-01,5.5,2020,1
CAN,HUR,TOT,PC_LF,2020-02,5.6,2020,2
CAN,HUR,TOT,PC_LF,2020-03,7.8,2020,3
CAN,HUR,TOT,PC_LF,2020-04,13.0,2020,4
CAN,HUR,TOT,PC_LF,2020-05,13.7,2020,5
CAN,HUR,TOT,PC_LF,2020-06,12.3,2020,6
CAN,HUR,TOT,PC_LF,2020-07,10.9,2020,7
CAN,HUR,TOT,PC_LF,2020-08,10.2,2020,8
CAN,HUR,TOT,PC_LF,2020-09,9.0,2020,9
CAN,HUR,TOT,PC_LF,2020-10,8.9,2020,10
CZE,HUR,TOT,PC_LF,2020-01,2.0,2020,1
CZE,HUR,TOT,PC_LF,2020-02,2.0,2020,2
CZE,HUR,TOT,PC_LF,2020-03,2.1,2020,3
CZE,HUR,TOT,PC_LF,2020-04,2.2,2020,4
CZE,HUR,TOT,PC_LF,2020-05,2.4,2020,5
CZE,HUR,TOT,PC_LF,2020-06,2.7,2020,6
CZE,HUR,TOT,PC_LF,2020-07,2.7,2020,7
CZE,HUR,TOT,PC_LF,2020-08,2.8,2020,8
CZE,HUR,TOT,PC_LF,2020-09,2.8,2020,9
CZE,HUR,TOT,PC_LF,2020-10,2.9,2020,10
DNK,HUR,TOT,PC_LF,2020-01,4.9,2020,1
DNK,HUR,TOT,PC_LF,2020-02,4.9,2020,2
DNK,HUR,TOT,PC_LF,2020-03,4.8,2020,3
DNK,HUR,TOT,PC_LF,2020-04,4.9,2020,4
DNK,HUR,TOT,PC_LF,2020-05,5.5,2020,5
DNK,HUR,TOT,PC_LF,2020-06,6.0,2020,6
DNK,HUR,TOT,PC_LF,2020-07,6.3,2020,7
DNK,HUR,TOT,PC_LF,2020-08,6.3,2020,8
DNK,HUR,TOT,PC_LF,2020-09,6.0,2020,9
DNK,HUR,TOT,PC_LF,2020-10,5.8,2020,10
FIN,HUR,TOT,PC_LF,2020-01,6.9,2020,1
FIN,HUR,TOT,PC_LF,2020-02,6.5,2020,2
FIN,HUR,TOT,PC_LF,2020-03,6.7,2020,3
FIN,HUR,TOT,PC_LF,2020-04,7.3,2020,4
FIN,HUR,TOT,PC_LF,2020-05,8.0,2020,5
FIN,HUR,TOT,PC_LF,2020-06,7.9,2020,6
FIN,HUR,TOT,PC_LF,2020-07,8.6,2020,7
FIN,HUR,TOT,PC_LF,2020-08,8.5,2020,8
FIN,HUR,TOT,PC_LF,2020-09,8.3,2020,9
FIN,HUR,TOT,PC_LF,2020-10,8.3,2020,10
FRA,HUR,TOT,PC_LF,2020-01,7.7,2020,1
FRA,HUR,TOT,PC_LF,2020-02,7.5,2020,2
FRA,HUR,TOT,PC_LF,2020-03,8.0,2020,3
FRA,HUR,TOT,PC_LF,2020-04,7.3,2020,4
FRA,HUR,TOT,PC_LF,2020-05,7.2,2020,5
FRA,HUR,TOT,PC_LF,2020-06,6.9,2020,6
FRA,HUR,TOT,PC_LF,2020-07,9.4,2020,7
FRA,HUR,TOT,PC_LF,2020-08,9.0,2020,8
FRA,HUR,TOT,PC_LF,2020-09,8.8,2020,9
FRA,HUR,TOT,PC_LF,2020-10,8.6,2020,10
DEU,HUR,TOT,PC_LF,2020-01,3.4,2020,1
DEU,HUR,TOT,PC_LF,2020-02,3.6,2020,2
DEU,HUR,TOT,PC_LF,2020-03,3.8,2020,3
DEU,HUR,TOT,PC_LF,2020-04,4.0,2020,4
DEU,HUR,TOT,PC_LF,2020-05,4.2,2020,5
DEU,HUR,TOT,PC_LF,2020-06,4.3,2020,6
DEU,HUR,TOT,PC_LF,2020-07,4.4,2020,7
DEU,HUR,TOT,PC_LF,2020-08,4.5,2020,8
DEU,HUR,TOT,PC_LF,2020-09,4.5,2020,9
DEU,HUR,TOT,PC_LF,2020-10,4.5,2020,10
GRC,HUR,TOT,PC_LF,2020-01,16.1,2020,1
GRC,HUR,TOT,PC_LF,2020-02,15.9,2020,2
GRC,HUR,TOT,PC_LF,2020-03,15.6,2020,3
GRC,HUR,TOT,PC_LF,2020-04,15.7,2020,4
GRC,HUR,TOT,PC_LF,2020-05,17.7,2020,5
GRC,HUR,TOT,PC_LF,2020-06,17.5,2020,6
GRC,HUR,TOT,PC_LF,2020-07,17.0,2020,7
GRC,HUR,TOT,PC_LF,2020-08,16.8,2020,8
HUN,HUR,TOT,PC_LF,2020-01,3.4,2020,1
HUN,HUR,TOT,PC_LF,2020-02,3.6,2020,2
HUN,HUR,TOT,PC_LF,2020-03,3.7,2020,3
HUN,HUR,TOT,PC_LF,2020-04,4.1,2020,4
HUN,HUR,TOT,PC_LF,2020-05,4.8,2020,5
HUN,HUR,TOT,PC_LF,2020-06,4.9,2020,6
HUN,HUR,TOT,PC_LF,2020-07,4.6,2020,7
HUN,HUR,TOT,PC_LF,2020-08,4.4,2020,8
HUN,HUR,TOT,PC_LF,2020-09,4.4,2020,9
ISL,HUR,TOT,PC_LF,2020-01,4.1,2020,1
